Crop,Variety,State,Season,Year,Quantity,Production,Unit,Cost,Recommended_Zone
Groundnut,Hybrid,Gujarat,Kharif,2011,16.99,14.65,Tons,28133.04,Gujarat
Pulses,High Yield,Karnataka,Zaid,2006,6.94,6.14,Tons,16180.42,Karnataka
Sugarcane,High Yield,Punjab,Rabi,2006,98.06,102.44,Tons,175641.32,Punjab
Jute,Hybrid,Uttar Pradesh,Zaid,2004,19.01,20.38,Tons,44859.06,Uttar Pradesh
Oilseeds,High Yield,Tamil Nadu,Rabi,2004,15.8,14.56,Tons,36463.67,Tamil Nadu
Sugarcane,Organic,Maharashtra,Zaid,2012,57.85,50.29,Tons,134970.53,Maharashtra
Rice,Hybrid,Gujarat,Rabi,2008,45.67,46.52,Tons,92248.52,Gujarat
Maize,Standard,Maharashtra,Rabi,2012,26.63,29.06,Tons,64634.03,Maharashtra
Pulses,Hybrid,Tamil Nadu,Kharif,2014,9.27,9.42,Tons,20828.67,Tamil Nadu
Pulses,Hybrid,Rajasthan,Kharif,2012,6.89,7.72,Tons,11301.21,Rajasthan
Rice,Hybrid,Madhya Pradesh,Zaid,2009,27.89,22.47,Tons,50023.57,Madhya Pradesh
Cotton,High Yield,Punjab,Zaid,2003,12.88,13.65,Tons,31242.78,Punjab
Groundnut,Hybrid,Madhya Pradesh,Rabi,2001,14.27,15.22,Tons,30959.11,Madhya Pradesh
Pulses,High Yield,Haryana,Zaid,2003,7.72,8.8,Tons,19079.21,Haryana
Sugarcane,Organic,Rajasthan,Zaid,2014,41.04,34.65,Tons,90719.84,Rajasthan
Cotton,High Yield,Tamil Nadu,Kharif,2004,12.63,11.37,Tons,30413.34,Tamil Nadu
Soybean,Standard,Tamil Nadu,Zaid,2003,9.36,8.59,Tons,19881.36,Tamil Nadu
Sugarcane,Organic,Haryana,Rabi,2014,91.18,85.94,Tons,147898.67,Haryana
Rice,Standard,Punjab,Kharif,2011,44.21,40.76,Tons,81898.58,Punjab
Maize,Standard,Andhra Pradesh,Zaid,2009,18.33,17.14,Tons,29696.42,Andhra Pradesh
Maize,High Yield,Andhra Pradesh,Kharif,2004,21.74,19.54,Tons,38124.32,Andhra Pradesh
Groundnut,High Yield,Maharashtra,Zaid,2001,11.23,11.72,Tons,17252.21,Maharashtra
Wheat,Hybrid,Haryana,Zaid,2005,39.29,33.71,Tons,68341.81,Haryana
Jute,Organic,Haryana,Zaid,2004,21.57,23.54,Tons,37480.35,Haryana
Pulses,Standard,Karnataka,Rabi,2006,8.45,9.58,Tons,13437.51,Karnataka
Maize,Organic,Uttar Pradesh,Zaid,2004,25.52,23.98,Tons,58939.11,Uttar Pradesh
Groundnut,Hybrid,Gujarat,Kharif,2001,15.94,13.63,Tons,38839.87,Gujarat
Oilseeds,Organic,Madhya Pradesh,Rabi,2007,13.22,14.07,Tons,23248.49,Madhya Pradesh
Jute,High Yield,Madhya Pradesh,Kharif,2002,15.8,18.33,Tons,37882.61,Madhya Pradesh
Groundnut,Organic,Madhya Pradesh,Kharif,2003,14.42,16.65,Tons,34554.63,Madhya Pradesh
Pulses,Hybrid,Punjab,Zaid,2001,9.03,9.32,Tons,19590.76,Punjab
Oilseeds,Standard,Uttar Pradesh,Kharif,2013,12.93,13.93,Tons,26499.74,Uttar Pradesh
Oilseeds,High Yield,Gujarat,Kharif,2004,13.18,12.47,Tons,22119.86,Gujarat
Pulses,Hybrid,Tamil Nadu,Zaid,2001,6.86,6.49,Tons,10928.96,Tamil Nadu
Groundnut,Standard,Haryana,Rabi,2014,23.59,27.42,Tons,46863.57,Haryana
Wheat,Hybrid,Karnataka,Rabi,2001,38.43,34.28,Tons,90851.46,Karnataka
Cotton,Hybrid,Gujarat,Zaid,2001,9.54,11.27,Tons,23274.86,Gujarat
Sugarcane,High Yield,Haryana,Zaid,2012,79.51,81.19,Tons,145571.21,Haryana
Cotton,High Yield,Punjab,Zaid,2013,11.32,11.26,Tons,20024.04,Punjab
Wheat,Standard,Madhya Pradesh,Rabi,2006,39.12,34.57,Tons,61434.72,Madhya Pradesh
Maize,Standard,Tamil Nadu,Rabi,2011,32.14,34.68,Tons,72027.25,Tamil Nadu
Maize,Organic,Tamil Nadu,Kharif,2010,25.62,26.76,Tons,44990.99,Tamil Nadu
Jute,High Yield,Tamil Nadu,Kharif,2004,19.07,18.29,Tons,29964.01,Tamil Nadu
Cotton,Standard,Tamil Nadu,Zaid,2012,8.85,7.21,Tons,18397.35,Tamil Nadu
Oilseeds,High Yield,Rajasthan,Zaid,2014,8.99,8.09,Tons,21219.35,Rajasthan
Jute,Organic,Haryana,Zaid,2006,17.76,19.68,Tons,35919.82,Haryana
Sugarcane,Hybrid,Tamil Nadu,Rabi,2013,81.61,86.1,Tons,166537.27,Tamil Nadu
Soybean,Organic,Maharashtra,Rabi,2014,11.97,11.68,Tons,21204.15,Maharashtra
Groundnut,High Yield,Rajasthan,Kharif,2010,11.15,11.99,Tons,21494.61,Rajasthan
Rice,Organic,Rajasthan,Rabi,2001,34.6,37.57,Tons,70898.58,Rajasthan
Pulses,Organic,Karnataka,Kharif,2013,7.96,8.69,Tons,15404.5,Karnataka
Cotton,Standard,Rajasthan,Zaid,2005,6.97,5.71,Tons,11266.02,Rajasthan
Rice,Hybrid,Gujarat,Kharif,2012,38.69,38.28,Tons,77058.43,Gujarat
Rice,Standard,Karnataka,Zaid,2010,34.5,31.2,Tons,82331.43,Karnataka
Jute,Hybrid,Rajasthan,Zaid,2010,15.05,13.02,Tons,32498.01,Rajasthan
Pulses,Hybrid,Tamil Nadu,Rabi,2001,9.48,9.76,Tons,23127.94,Tamil Nadu
Wheat,High Yield,Uttar Pradesh,Kharif,2001,42.57,40.64,Tons,103944.81,Uttar Pradesh
Rice,Hybrid,Andhra Pradesh,Rabi,2011,41.02,39.0,Tons,70326.08,Andhra Pradesh
Cotton,High Yield,Maharashtra,Zaid,2007,10.05,10.78,Tons,18945.37,Maharashtra
Wheat,Hybrid,Uttar Pradesh,Kharif,2007,44.43,52.19,Tons,82122.37,Uttar Pradesh
Pulses,High Yield,Gujarat,Kharif,2005,8.22,9.05,Tons,13796.22,Gujarat
Cotton,Standard,Punjab,Zaid,2004,11.54,13.24,Tons,24017.93,Punjab
Sugarcane,Organic,Punjab,Zaid,2013,78.36,90.98,Tons,125619.53,Punjab
Soybean,Organic,Madhya Pradesh,Rabi,2013,8.71,10.31,Tons,13533.89,Madhya Pradesh
Cotton,Standard,Madhya Pradesh,Zaid,2012,9.1,9.07,Tons,18037.35,Madhya Pradesh
Sugarcane,High Yield,Karnataka,Zaid,2012,54.06,63.71,Tons,92585.1,Karnataka
Oilseeds,Standard,Tamil Nadu,Kharif,2005,14.39,11.84,Tons,35923.09,Tamil Nadu
Cotton,Organic,Tamil Nadu,Kharif,2011,11.15,12.32,Tons,18323.49,Tamil Nadu
Rice,High Yield,Haryana,Zaid,2014,36.67,42.42,Tons,69551.95,Haryana
Wheat,Standard,Karnataka,Kharif,2005,38.1,36.13,Tons,71417.65,Karnataka
Soybean,High Yield,Punjab,Zaid,2007,10.69,11.58,Tons,19772.71,Punjab
Cotton,Standard,Haryana,Zaid,2011,13.46,13.42,Tons,21691.35,Haryana
Wheat,Organic,Rajasthan,Kharif,2009,31.95,37.85,Tons,66555.2,Rajasthan
Rice,High Yield,Madhya Pradesh,Kharif,2006,41.0,48.71,Tons,62002.57,Madhya Pradesh
Sugarcane,Hybrid,Haryana,Kharif,2011,76.31,90.64,Tons,156734.06,Haryana
Wheat,Organic,Madhya Pradesh,Kharif,2014,31.07,32.12,Tons,66104.11,Madhya Pradesh
Groundnut,Standard,Madhya Pradesh,Zaid,2012,12.26,12.04,Tons,29303.04,Madhya Pradesh
